                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.6504,                0.92778,                 1.2503,                0.88794,                0.72824,                0.77565,                0.36065,                 1.8034,                0.93037,                 1.4053,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.6387,                0.90962,                 1.2365,                0.85074,                0.68271,                0.71031,                0.25269,                 2.2811,                  1.017,                 1.6858,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.6378,                0.93138,                 1.2322,                0.93034,                0.70241,                0.79164,                0.39111,                 1.6991,                0.84348,                  1.361,                0.00101,                0.00101,                0.00101
                     52,                 1.6363,                0.91709,                 1.2293,                0.88073,                0.71096,                 0.7855,                0.38817,                 1.6845,                0.90481,                  1.345,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.6327,                0.94633,                 1.2456,                0.87509,                0.68985,                0.74477,                0.34298,                 1.8244,                0.93676,                 1.4163,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.6254,                 0.9161,                 1.2182,                 0.8925,                0.70849,                0.76359,                0.32504,                 1.9804,                0.91862,                 1.4992,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6246,                0.90539,                 1.2278,                0.88363,                 0.7046,                0.74766,                0.28618,                 2.1779,                0.96161,                 1.6116,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.6217,                0.88935,                   1.22,                0.90718,                0.73085,                0.78814,                0.36839,                 1.7929,                0.87621,                 1.3953,               0.000911,               0.000911,               0.000911
                     57,                 1.5967,                0.90221,                 1.2278,                0.85742,                0.73085,                0.76447,                0.35092,                 1.8169,                0.90909,                 1.4169,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.6063,                0.88979,                 1.2197,                0.90115,                0.74617,                0.80086,                0.40531,                 1.6765,                 0.8869,                 1.3474,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.6013,                0.88966,                 1.2287,                0.85993,                0.69859,                0.76255,                0.37914,                 1.7345,                0.95281,                 1.3714,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.5965,                 0.9002,                 1.2169,                0.84837,                0.74617,                0.78419,                0.36194,                 1.8226,                0.87618,                 1.4233,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6012,                 0.8753,                 1.2285,                0.89064,                0.71281,                0.77719,                0.37915,                 1.7446,                0.85951,                  1.372,               0.000812,               0.000812,               0.000812
                     62,                 1.5991,                0.89216,                 1.2127,                0.91763,                 0.7046,                0.76453,                0.32502,                 2.0329,                0.87907,                 1.5338,              0.0007922,              0.0007922,              0.0007922
                     63,                  1.562,                0.88671,                  1.203,                 0.8671,                0.70897,                0.75047,                0.28576,                 2.1821,                0.97797,                 1.6503,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.5967,                0.86896,                 1.2131,                0.89386,                0.71116,                0.75002,                 0.3185,                 1.9613,                0.91581,                 1.4943,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.5512,                0.87493,                 1.1985,                0.92068,                 0.7366,                0.79504,                0.38487,                 1.7204,                0.82671,                 1.3687,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.5448,                 0.8468,                 1.1857,                0.85551,                0.72556,                 0.7548,                0.31617,                 1.9871,                0.92797,                 1.5085,               0.000713,               0.000713,               0.000713
                     67,                 1.5919,                0.89372,                 1.2471,                0.89229,                0.72512,                0.77457,                0.32709,                  1.961,                0.88081,                 1.4849,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.5532,                0.87134,                 1.2086,                0.85656,                0.70559,                0.73942,                0.28113,                 2.1248,                 1.0132,                 1.5827,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.5366,                0.85839,                 1.1891,                0.88089,                0.73742,                0.78351,                 0.3738,                 1.8253,                0.83726,                 1.4185,              0.0006536,              0.0006536,              0.0006536
