                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.4487,                0.79441,                 1.1557,                 0.8862,                0.72884,                0.79146,                0.30441,                 2.1613,                0.86682,                 1.6085,               0.001109,               0.001109,               0.001109
                     92,                 1.4573,                0.80492,                 1.1675,                0.89367,                0.72414,                0.78602,                0.29279,                 2.1864,                0.87336,                 1.6185,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.4243,                0.77447,                 1.1513,                0.89792,                0.75041,                0.79718,                0.33082,                 2.0131,                0.86993,                 1.5182,              0.0010892,              0.0010892,              0.0010892
                     94,                  1.407,                0.77266,                 1.1449,                0.85756,                0.71181,                 0.7579,                0.27332,                 2.2247,                 0.9064,                 1.6343,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.4186,                0.77025,                 1.1467,                0.88372,                0.73892,                0.78605,                0.29401,                 2.2063,                0.88076,                 1.6473,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.4704,                 0.7916,                 1.1643,                0.93046,                0.75205,                0.81486,                0.41101,                 1.7155,                0.75651,                 1.3585,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.4485,                0.78552,                 1.1596,                0.90323,                0.72906,                0.80043,                 0.3232,                 2.0333,                0.84949,                 1.5366,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.4353,                0.79062,                 1.1497,                0.87038,                0.72772,                0.77053,                0.27284,                 2.2471,                0.88454,                 1.6803,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.4286,                0.78049,                 1.1571,                0.91948,                0.73132,                0.80181,                0.33484,                 2.0041,                0.83109,                 1.5169,              0.0010298,              0.0010298,              0.0010298
                    100,                  1.421,                0.77037,                 1.1517,                0.91593,                0.73353,                0.80924,                0.34959,                 1.9131,                0.83143,                 1.4743,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.4142,                  0.751,                 1.1419,                 0.8666,                0.72742,                0.76335,                0.30152,                 2.1371,                0.86141,                 1.5996,                0.00101,                0.00101,                0.00101
                    102,                  1.389,                0.75375,                  1.127,                0.88684,                0.73351,                0.77787,                0.29617,                 2.1211,                0.84081,                 1.5946,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.3933,                0.77409,                 1.1299,                0.91685,                0.74236,                0.81402,                0.32559,                 2.0376,                0.80389,                 1.5463,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.3965,                0.76851,                 1.1375,                0.93821,                 0.7734,                0.83257,                0.41456,                 1.6966,                0.71851,                 1.3558,              0.0009803,              0.0009803,              0.0009803
